Attack_Flag,Fwd.Packet.Length.Min,Packet.Length.Variance,Avg.Fwd.Segment.Size,URG.Flag.Count,Active.Std,Down.Up.Ratio,Destination.Port,Idle.Min,Avg.Bwd.Segment.Size,Bwd.IAT.Total,Init_Win_bytes_backward,PSH.Flag.Count,Bwd.IAT.Max
0,0,259702.6905,51.90909091,0,0,0,443,0,585.7777778,257247,4,1,126755
0,0,0,0,0,0,0,47178,0,0,0,-1,0,0
0,6,26885.33333,148,0,0,0,55823,0,0,0,-1,0,0
1,0,8593279.278,8.666666667,0,0,1,80,0,2321.4,1022235,229,1,1021216
1,0,7189672.268,8.666666667,0,0,1,80,0,2900.25,909454,229,1,897957
0,6,0,6,1,0,5,59640,0,6,2082907,0,0,2067885
0,30,12362.7,30,0,0,1,53,0,233,3,-1,0,3
0,0,290663,127.6,0,0,0,443,0,801.6666667,200229,509,1,91594
1,0,3435230.673,8.666666667,0,0,2,80,0,1658.142857,29018,229,1,14785
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,0,10.8,4,0,0,0,80,0,0,0,29200,1,0
0,6,0,6,1,0,6,18190,10000000,6,10000000,0,0,10000000
0,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,6,0,6,1,0,5,24634,0,6,3633290,0,0,3628516
0,0,721366.0063,45.47368421,0,0,0,443,0,1077.25,73495,292,1,42596
1,0,6085838.111,8.666666667,0,0,1,80,0,2320.2,34366,229,1,33473
0,48,529.2,48,0,0,1,53,0,90,3,-1,0,3
0,6,0,6,1,0,6,50569,0,6,2565952,0,0,2562522
1,0,7763243.696,8.666666667,0,0,1,80,0,2900.25,1821564,229,1,1796858
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,1262501,229,1,1261799
0,45,76.8,45,0,0,1,53,0,61,48,-1,0,48
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,4456113.111,8.666666667,0,0,1,80,0,2320.2,391175,229,1,359854
0,37,307.2,37,0,0,1,53,0,69,49,-1,0,49
1,0,7025604.278,8.666666667,0,0,1,80,0,2321.4,458293,229,1,457386
0,0,245263.641,74.66666667,0,55722.13568,1,80,9999834,297.6666667,25200000,946,1,10100000
1,0,10300000,7,0,0,0,80,68300000,2901.75,935750,229,0,935015
0,0,7317264.423,2321.4,1,0,1,60231,6021797,7,7960884,256,0,6021797
0,0,8953459.781,2322.6,1,0,1,58171,75100000,6.888888889,76200000,256,0,75100000
1,0,6054813.111,8.666666667,0,0,1,80,0,2320.2,64535,229,1,57294
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,6,0,6,1,0,5,31184,0,6,4754900,0,0,4744682
1,0,3625073.789,8.666666667,0,0,2,80,0,1934.5,91243,229,1,90270
1,0,9696700.839,8.666666667,0,0,1,80,0,2900.25,1095614,229,1,1091882
0,0,215773.2026,73.42857143,0,0,1,443,0,410.2,89929,119,1,42032
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,6,0,6,1,0,5,57318,0,6,1529994,0,0,1491603
0,35,76.8,35,0,0,1,53,0,51,49,-1,0,49
0,0,2916174.985,1659,1,0,1,58566,9274735,6.888888889,78300000,256,0,69000000
1,0,3257660.352,7,0,0,0,80,6092083,1934.5,1232933,229,0,1231749
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,6,0,6,0,0,0,80,11900000,0,0,-1,0,0
1,0,6109933.974,7,0,0,0,80,78600000,2900.25,372781,229,0,346144
0,32,1470,32,0,0,1,53,0,102,48,-1,0,48
0,45,6256.333333,45,0,0,1,53,0,182,0,-1,0,0
0,0,124480.2622,45.68181818,0,72169.10332,0,443,9999125,256.8888889,111000000,179,1,10100000
1,6,0,6,0,0,0,80,11700000,0,0,-1,0,0
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,154295,229,1,153568
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,2542973.429,7,0,0,0,80,6888821,1658.142857,54020,229,0,27069
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,1616351,229,1,1615556
0,6,0,6,0,0,0,59953,0,0,0,-1,0,0
1,0,4572451.567,8.666666667,0,0,2,80,0,1934.5,621755,229,1,621007
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,570623,229,1,569602
1,0,3150292.379,7,0,0,0,80,77100000,2320.2,1120438,229,0,1115005
0,6,0,6,1,0,6,17401,8214686,6,8233792,0,0,8214686
0,1375,447016.2381,1375,1,0,5,42218,0,4.8,594992,0,0,573353
1,0,3925145.944,10,0,0,3,80,0,1933.5,978341,229,1,968798
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,1838688,229,1,1837571
0,6,0,6,0,0,0,9443,0,0,0,-1,0,0
1,0,4456113.111,8.666666667,0,0,1,80,0,2320.2,827033,229,1,796832
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,12800000,8.666666667,0,0,1,80,0,2900.25,8562,229,1,7493
0,6,22832.0197,84.85714286,0,1239325.262,1,443,9984324,37.64285714,85100000,192,0,10100000
0,6,0,6,1,0,5,39870,7304886,6,7311837,0,0,7304886
1,0,4439595.952,6.888888889,0,0,0,80,76300000,2321.4,789917,229,0,788717
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,1870525,229,1,1869799
0,42,5461.333333,42,0,0,1,53,0,170,0,-1,0,0
1,0,7025604.278,8.666666667,0,0,1,80,0,2321.4,1454985,229,1,1453880
1,6,0,6,0,0,0,80,5038873,0,0,-1,0,0
0,0,421965.25,74.25,0,0,1,80,0,984.75,1032799,4677,1,1032355
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,2706820.456,8.666666667,0,0,2,80,0,1933.5,516896,229,1,511647
1,6,0,6,0,0,0,80,5432877,0,0,-1,0,0
0,44,3072,44,0,0,1,53,0,140,0,-1,0,0
0,31,2066.7,31,0,0,1,53,0,114,48,-1,0,48
0,53,432,53,0,0,1,53,0,89,0,-1,0,0
0,0,0,0,0,0,0,80,0,0,0,-1,0,0
0,0,2399300.441,1658.142857,1,0,1,49531,6011580,6.888888889,80600000,256,0,74600000
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,0,301914.1894,113.6,0,318166.7674,1,443,9999656,475.8235294,65700000,18,1,10200000
0,6,0,6,1,0,5,17683,8658981,6,8661310,0,0,8658981
0,62,0,62,0,0,0,137,0,0,0,-1,0,0
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,1815561,229,1,1813273
0,48,9747,48,0,0,1,53,0,219,0,-1,0,0
0,46,33496.33333,46,0,0,1,53,0,363,0,-1,0,0
0,49,1816,49.5,0,0,1,53,7365911,113,7412308,-1,0,7412308
1,0,11200000,8.666666667,0,0,1,80,0,2321.4,42318,229,1,40972
0,6,355.952381,27,0,0,0,443,0,46,0,351,0,0
1,0,4731941.346,7,0,0,0,80,72600000,2321.4,1800430,229,0,1799294
1,6,0,6,0,0,0,80,6064853,0,0,-1,0,0
1,6,0,6,0,0,0,80,10100000,0,0,-1,0,0
1,0,11200000,8.666666667,0,0,1,80,0,2321.4,577072,229,1,576002
1,0,10300000,7,0,0,0,80,65000000,2901.75,543908,229,0,543010
1,6,0,6,0,0,0,80,9007788,0,0,-1,0,0
1,0,7025604.278,8.666666667,0,0,1,80,0,2321.4,1008054,229,1,1007115
1,6,0,6,0,0,0,80,7501680,0,0,-1,0,0
1,0,4572451.567,8.666666667,0,0,2,80,0,1934.5,996864,229,1,995958
0,33,7680,33,0,0,1,53,0,193,4,-1,0,4
0,6,0,6,1,0,5,40805,6227905,6,6229894,0,0,6227905
0,6,0,6,1,0,5,58180,0,6,3810916,0,0,3807207
0,52,1009.2,52,0,0,1,53,0,110,49,-1,0,49
1,0,3150292.379,7,0,0,0,80,5226636,2320.2,41230,229,0,28561
0,6,0,6,1,0,1,58223,0,6,0,256,0,0
1,6,0,6,0,0,0,80,10100000,0,0,-1,0,0
0,0,0,0,0,0,0,80,0,0,0,63,0,0
1,6,0,6,0,0,0,80,10100000,0,0,-1,0,0
1,0,11200000,8.666666667,0,0,1,80,0,2321.4,262424,229,1,261595
1,0,8593279.278,8.666666667,0,0,1,80,0,2321.4,552454,229,1,551664
1,0,4456113.111,8.666666667,0,0,1,80,0,2320.2,34037,229,1,17341
0,0,5337091.695,2595.2,1,0,1,49207,6061932,6.222222222,81200000,256,0,75100000
0,0,8.571428571,3,0,0,0,80,0,0,22997,29200,1,22997
0,0,5083184.063,2321.4,1,0,2,64244,9104452,6.8,80900000,256,0,71800000
0,6,0,6,1,0,6,55822,0,6,1666953,0,0,1661200
0,0,0,0,0,0,0,80,0,0,0,-1,0,0
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,635155,229,1,634493
0,0,266989.4302,167.0769231,0,67376.01237,1,443,9980943,263.3846154,60400000,124,1,10100000
1,0,7431818.269,7,0,0,0,80,6361048,2321.4,1841134,229,0,1839668
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,6192667.308,7,0,0,0,80,6233875,2900.25,1058152,229,0,1050301
1,0,3654198.233,8.666666667,0,0,2,80,0,1933.5,1429111,229,1,1425377
1,0,2262255.211,10,0,0,3,80,0,1657.285714,533686,229,1,523728
1,0,9696700.839,8.666666667,0,0,1,80,0,2900.25,44008,229,1,39002
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,0,2916174.985,1659,1,0,1,58596,9593626,6.888888889,93700000,256,0,84100000
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,471868,229,1,470901
1,0,4572451.567,8.666666667,0,0,2,80,0,1934.5,1819606,229,1,1818859
0,0,236397.1026,81.42857143,0,0,0,443,0,545,511086,11256,1,296513
1,6,0,6,0,0,0,80,8075032,0,0,-1,0,0
0,1375,402197.1429,1375,1,0,6,56295,0,5,4528913,0,0,4515361
0,0,285895.4926,44.33333333,0,0,0,443,5041428,692.5714286,369773,110,1,229166
0,0,5020038.111,1933.5,0,0,0,63036,0,13,2,256,1,2
0,6,0,6,1,0,5,19329,7420047,6,7428972,0,0,7420047
0,24,1267.5,24,0,0,1,53,0,89,1,-1,0,1
0,0,196.3023256,11.11111111,0,0,1,21,0,19.28,148469,229,1,74774
1,0,6192667.308,7,0,0,0,80,5593750,2900.25,111364,229,0,92510
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
0,6,0,6,0,0,0,443,0,0,0,-1,0,0
1,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,0,11400000,8.666666667,0,0,1,80,0,2321.4,107771,229,1,106906
1,0,16800000,8.666666667,0,0,1,80,0,2901.75,1221990,229,1,1221187
1,6,0,6,0,0,0,80,8631726,0,0,-1,0,0
0,32,2822.7,32,0,0,1,53,0,129,1,-1,0,1
0,6,0,6,1,0,1,10206,0,6,0,256,0,0
0,6,0,6,1,0,1,60155,0,6,0,254,0,0
0,32,1306.8,32,0,0,1,53,0,98,48,-1,0,48
0,0,0,0,1,0,1,56344,0,0,0,251,0,0
1,2,5.333333333,2,0,0,1,23,0,6,0,0,1,0
0,0,125890.1839,63.57142857,0,97685.33762,0,443,9999141,239.4615385,60900000,114,1,10100000
1,2,5.333333333,2,0,0,1,5003,0,6,0,0,1,0
0,35,2764.8,35,0,0,1,53,0,131,3,-1,0,3
0,48,0,48,0,0,1,123,0,48,0,-1,0,0
1,2,5.333333333,2,0,0,1,2492,0,6,0,0,1,0
0,0,0,0,0,0,0,80,0,0,999597,28960,1,999597
0,0,1083864.738,1231.133333,0,0,0,26708,0,4,17953,357,1,17739
1,0,12,0,0,0,1,5050,0,6,0,0,1,0
1,0,12,0,0,0,1,30951,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,8089,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,1001,0,6,0,0,1,0
0,41,5588.8,61,0,0,1,53,11600000,194.5,11700000,-1,0,11700000
0,6,0,6,0,0,0,5532,0,0,0,-1,0,0
1,0,12,0,0,0,1,19801,0,6,0,0,1,0
1,0,12,0,0,0,1,8088,0,6,0,0,1,0
0,52,1365.333333,52,0,0,1,53,0,116,0,-1,0,0
1,0,12,0,0,0,1,687,0,6,0,0,1,0
1,0,12,0,0,0,1,5822,0,6,0,0,1,0
0,37,480,37,0,0,1,53,0,77,3,-1,0,3
1,0,10.8,0,0,0,1,1059,36800000,6,36800000,0,1,36800000
1,2,5.333333333,2,0,0,1,465,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,2301,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,3371,0,6,0,0,1,0
0,0,0,0,1,0,1,51393,0,0,0,229,0,0
1,2,5.333333333,2,0,0,1,2910,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,3390,0,6,0,0,1,0
0,0,12935.47984,41.375,0,41347.2732,0,80,9211189,52,110000000,980,1,10100000
1,2,5.333333333,2,0,0,1,3128,0,6,0,0,1,0
0,37,811.2,37,0,0,1,53,0,89,4,-1,0,4
1,0,12,0,0,0,1,222,0,6,0,0,1,0
0,40,76.8,40,0,0,1,53,0,56,3,-1,0,3
1,2,5.333333333,2,0,0,1,30000,0,6,0,0,1,0
1,0,12,0,0,0,1,646,0,6,0,0,1,0
0,32,811.2,32,0,0,1,53,0,84,3,-1,0,3
1,2,5.333333333,2,0,0,1,12174,0,6,0,0,1,0
1,0,12,0,0,0,1,2998,0,6,0,0,1,0
0,42,974.7,42,0,0,1,53,0,99,49,-1,0,49
0,0,0,0,0,0,0,80,0,0,0,14480,1,0
1,0,12,0,0,0,1,50001,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,5987,0,6,0,0,1,0
1,0,12,0,0,0,1,1972,0,6,0,0,1,0
0,6,0,6,0,0,0,443,0,0,0,-1,0,0
0,32,76.8,32,0,0,1,53,0,48,48,-1,0,48
1,0,12,0,0,0,1,18101,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,726,0,6,0,0,1,0
0,78,2017.2,78,0,0,1,53,0,160,3,-1,0,3
0,33,76.8,33,0,0,1,53,0,49,2,-1,0,2
1,0,12,0,0,0,1,32776,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,19780,0,6,0,0,1,0
0,31,5713.2,31,0,0,1,53,0,169,1,-1,0,1
1,0,12,0,0,0,1,50000,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,7911,0,6,0,0,1,0
1,0,12,0,0,0,1,49400,0,6,0,0,1,0
1,0,12,0,0,0,1,84,0,6,0,0,1,0
0,56,261.3333333,56,0,0,1,53,0,84,0,-1,0,0
0,6,0,6,1,0,0,8134,0,0,0,-1,0,0
1,2,5.333333333,2,0,0,1,12174,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,3918,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,27355,0,6,0,0,1,0
0,48,1408.333333,48,0,0,1,53,0,113,0,-1,0,0
1,0,12,0,0,0,1,70,0,6,0,0,1,0
1,0,12,0,0,0,1,2007,0,6,0,0,1,0
0,34,76.8,34,0,0,1,53,0,50,3,-1,0,3
0,0,217462.2614,55.3,0,0,0,443,0,572.7142857,105766,343,1,67195
0,0,605669.1719,15.61764706,0,84902.87874,1,80,9989952,1326.135593,46100000,30,1,10100000
0,34,307.2,34,0,0,1,53,0,66,4,-1,0,4
1,0,12,0,0,0,1,32771,0,6,0,0,1,0
0,42,1323,42,0,0,1,53,0,105,0,-1,0,0
0,0,591243.2149,47.46875,0,54200.6253,1,443,5520178,856.71875,111000000,1006,1,10000000
1,2,5.333333333,2,0,0,1,9944,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,3322,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,9009,0,6,0,0,1,0
0,38,5357.142857,38,0,0,0,53,0,188,4,-1,0,4
1,0,12,0,0,0,1,1039,0,6,0,0,1,0
1,0,12,0,0,0,1,898,0,6,0,0,1,0
1,0,12,0,0,0,1,6100,0,6,0,0,1,0
1,0,12,0,0,0,1,51493,0,6,0,0,1,0
0,38,1228.8,38,0,0,1,53,0,102,3,-1,0,3
1,2,5.333333333,2,0,0,1,366,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,801,0,6,0,0,1,0
0,36,2116.8,36,0,0,1,53,0,120,3,-1,0,3
0,0,6080.425397,93.5,0,0,1,465,0,51.76190476,1772065,176,1,829112
1,0,12,0,0,0,1,5298,0,6,0,0,1,0
0,34,7300.8,34,0,0,1,53,0,190,4,-1,0,4
1,2,5.333333333,2,0,0,1,1864,0,6,0,0,1,0
1,0,12,0,0,0,1,6692,0,6,0,0,1,0
1,0,12,0,0,0,1,2119,0,6,0,0,1,0
0,0,0,0,1,0,1,443,0,0,0,252,0,0
0,6,125,14.33333333,0,0,0,8609,0,6,0,0,0,0
1,0,12,0,0,0,1,9099,0,6,0,0,1,0
1,0,12,0,0,0,1,2105,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,1022,0,6,0,0,1,0
0,50,3745.333333,50,0,0,1,53,0,156,0,-1,0,0
0,38,691.2,38,0,0,1,53,0,86,1,-1,0,1
0,31,2764.8,31,0,0,1,53,0,127,48,-1,0,48
1,2,5.333333333,2,0,0,1,6006,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,2323,0,6,0,0,1,0
0,0,0,0,1,0,1,54188,0,0,0,394,0,0
1,0,12,0,0,0,1,1022,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,3324,0,6,0,0,1,0
0,42,2822.7,42,0,0,1,53,0,139,4,-1,0,4
0,34,482.1428571,34,0,0,0,53,0,79,3,-1,0,3
1,2,5.333333333,2,0,0,1,26214,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,6006,0,6,0,0,1,0
0,0,25025.33333,137,0,0,0,46724,0,0,0,-1,0,0
1,2,5.333333333,2,0,0,1,5678,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,512,0,6,0,0,1,0
1,0,12,0,0,0,1,543,0,6,0,0,1,0
1,0,12,0,0,0,1,1060,0,6,0,0,1,0
0,31,4915.2,31,0,0,1,53,0,159,49,-1,0,49
0,51,76.8,51,0,0,1,53,0,67,49,-1,0,49
1,2,5.333333333,2,0,0,1,2121,0,6,0,0,1,0
1,0,12,0,0,0,1,11967,0,6,0,0,1,0
1,0,12,0,0,0,1,9111,0,6,0,0,1,0
0,0,0,0,0,0,0,80,0,0,0,-1,0,0
1,0,12,0,0,0,1,9594,0,6,0,0,1,0
1,0,12,0,0,0,1,8100,0,6,0,0,1,0
0,0,253502.4286,49.25,0,0,0,443,0,619.3333333,75580,119,1,38816
1,0,12,0,0,0,1,61532,0,6,0,0,1,0
0,50,568.7,51.5,0,0,1,53,105000000,86.5,105000000,-1,0,105000000
1,0,12,0,0,0,1,8291,0,6,0,0,1,0
0,0,190.5525253,10.84210526,0,0,1,21,0,19.2,157871,229,1,79368
0,6,0,6,0,0,0,55294,0,0,0,-1,0,0
1,2,5.333333333,2,0,0,1,3322,0,6,0,0,1,0
0,0,267.3333333,15.5,0,0,0,35930,0,6,0,0,0,0
1,2,5.333333333,2,0,0,1,6580,0,6,0,0,1,0
1,0,12,0,0,0,1,10617,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,898,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,3,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,32782,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,8022,0,6,0,0,1,0
1,0,0,0,0,0,0,80,0,0,0,-1,0,0
1,2,5.333333333,2,0,0,1,9500,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,50003,0,6,0,0,1,0
0,6,0,6,0,0,0,80,0,0,0,-1,0,0
1,2,5.333333333,2,0,0,1,1174,0,6,0,0,1,0
1,2,5.333333333,2,0,0,1,5566,0,6,0,0,1,0
1,0,12,0,0,0,1,5414,0,6,0,0,1,0
0,48,1186.3,53.5,0,0,1,53,0,110.5,2040551,-1,0,2040551
0,0,119973.5647,52.45,0,630252.0522,0,443,58100000,273.7058824,118000000,179,1,58800000
