Flow.Bytes,act_data_pkt_fwd,PSH.Flag.Count,Avg.Bwd.Segment.Size,Bwd.Packet.Length.Std,Bwd.Packet.Length.Min,min_seg_size_forward,Active.Std,Active.Max
4003,13,1,239.4615385,492.9698462,0,20,97685.33762,351763
332,1,0,131,0,131,20,0,0
96,0,0,48,0,48,32,0,0
0,0,1,0,0,0,32,0,0
18491,13,1,4,3.098386677,0,20,0,0
511,1,0,194.5,44.54772721,163,20,0,24538
12,1,0,0,0,0,20,0,0
168,0,0,116,0,116,20,0,0
228,1,0,77,0,77,20,0,0
0,0,0,0,0,0,32,0,0
1442,15,1,52,134.8077997,0,20,41347.2732,222170
252,1,0,89,0,89,32,0,0
192,1,0,56,0,56,20,0,0
232,1,0,84,0,84,32,0,0
282,1,0,99,0,99,20,0,0
0,0,1,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
160,1,0,48,0,48,32,0,0
476,1,0,160,0,160,20,0,0
164,1,0,49,0,49,32,0,0
400,1,0,169,0,169,20,0,0
140,0,0,84,0,84,20,0,0
12,1,0,0,0,0,20,0,0
161,0,0,113,0,113,20,0,0
168,1,0,50,0,50,32,0,0
4562,9,1,572.7142857,642.9366776,0,20,0,0
78773,33,1,1326.135593,564.224688,0,20,84902.87874,184867
200,1,0,66,0,66,32,0,0
147,0,0,105,0,105,20,0,0
28934,5,1,856.71875,925.7204774,0,32,54200.6253,211395
528,3,0,188,0,188,20,0,0
280,1,0,102,0,102,32,0,0
312,1,0,120,0,120,20,0,0
2396,13,1,51.76190476,62.99436861,0,20,0,0
448,1,0,190,0,190,32,0,0
0,0,0,0,0,0,32,0,0
49,2,0,6,0,6,20,0,0
206,0,0,156,0,156,32,0,0
248,1,0,86,0,86,20,0,0
316,1,0,127,0,127,20,0,0
0,0,0,0,0,0,32,0,0
362,1,0,139,0,139,32,0,0
294,3,0,79,0,79,20,0,0
274,0,0,0,0,0,32,0,0
380,1,0,159,0,159,20,0,0
236,1,0,67,0,67,20,0,0
0,0,0,0,0,0,32,0,0
4110,7,1,619.3333333,679.9090135,0,20,0,0
276,1,0,86.5,28.99137803,66,20,0,30564
686,17,1,19.2,14.20387271,0,20,0,0
12,1,0,0,0,0,20,0,0
37,0,0,6,0,6,32,0,0
12,1,0,0,0,0,20,0,0
328,1,0,110.5,31.81980515,88,32,0,0
5702,8,1,273.7058824,485.0366951,0,32,630252.0522,982395
37,0,0,6,0,6,32,0,0
4755,10,1,601,1048.809961,0,20,0,0
5050,9,1,643.2857143,694.474793,0,20,0,0
6840,14,1,381.0625,567.4434443,2,20,183787.0621,500775
31,1,0,0,0,0,32,377830.3363,1036033
106,0,0,61,0,61,32,0,0
6061,16,1,144.7058824,405.720927,0,20,38957.50914,164260
0,0,0,0,0,0,32,0,0
546,3,0,203,0,203,20,0,0
188,1,0,55,0,55,20,0,0
208,1,0,60,0,60,32,0,0
496,1,0,188,0,188,32,0,0
0,0,0,0,0,0,32,0,0
224,1,0,83,0,83,20,0,0
328,1,0,106,0,106,32,0,0
234,1,0,83,0,83,32,0,0
12,1,0,0,0,0,20,0,0
2000,1,1,61.8,138.189001,0,32,0,0
5838,10,1,583.3333333,639.7827756,0,20,0,0
172,1,0,51,0,51,32,0,0
4442,7,1,444,735.1952122,0,20,834470.8546,1217041
194,0,0,151,0,151,32,0,0
340,0,0,282,0,282,32,0,0
169,2,0,46,0,46,32,0,0
155,0,0,108,0,108,32,0,0
266,1,0,94,0,94,32,0,0
262,1,0,96,0,96,20,0,0
12,1,0,0,0,0,20,0,0
754,5,1,47.66666667,77.42308011,0,20,0,529661
6,0,0,0,0,0,20,0,0
163,0,0,112,0,112,32,0,0
4040,9,1,216.2,272.6641402,0,20,0,0
207,0,0,155,0,155,32,0,0
12,0,0,6,0,6,20,0,0
12,0,0,6,0,6,20,0,0
302,1,0,116,0,116,20,0,0
12,1,0,0,0,0,20,0,0
3115,1,1,750.25,869.057104,0,32,0,0
636,3,0,107.5,57.15767665,58,20,0,0
323,1,0,106,52.32590181,69,32,0,30534
234,1,0,76,0,76,20,0,0
12,0,0,6,0,6,20,0,0
118,0,0,67,0,67,32,0,0
18,0,1,6,0,6,28,0,0
5709,1,1,83.58333333,289.54116,0,32,300383.4629,786463
3711,7,1,602.6,709.1556952,0,20,0,267156
156,0,0,113,0,113,20,0,0
316,0,0,222,0,222,32,0,0
2117,15,1,106.5333333,279.9269973,0,20,74344.08886,270185
172,0,0,119,0,119,20,0,0
96,0,0,48,0,48,20,0,0
0,0,0,0,0,0,32,0,0
3198,5,1,65.05882353,157.3592508,0,32,106151.7873,388850
12,1,0,0,0,0,20,0,0
312,1,0,119,0,119,20,0,0
794,3,1,39.75,79.5,0,32,0,115683
256,1,0,88,0,88,20,0,0
291,5,0,6,0,6,20,0,0
24,0,0,6,0,6,20,0,0
1579,2,1,273,386.0803025,0,20,0,0
192,1,0,56,0,56,32,0,0
12,1,0,0,0,0,20,0,0
156,1,0,47,0,47,32,0,0
12,0,0,6,0,6,20,0,0
0,0,0,0,0,0,32,0,0
210,1,0,74,0,74,32,0,0
188,1,0,55,0,55,20,0,0
0,0,0,0,0,0,32,0,0
169,2,0,46,0,46,32,0,0
0,0,0,0,0,0,32,0,0
368,1,0,137,0,137,32,0,0
758,1,0,345,0,345,20,0,0
480,3,0,124,0,124,20,0,0
319,1,0,116,24.04163056,99,20,0,0
76,1,0,0,0,0,32,0,0
92,1,0,23,0,23,32,0,0
6216,6,1,567.7777778,755.448671,0,32,0,178681
2063,1,1,298.8,496.593093,0,32,0,0
0,0,0,0,0,0,32,0,0
220,1,0,63,0,63,32,0,0
234,1,0,76,0,76,32,0,0
150,0,0,103,0,103,20,0,0
0,0,0,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
114,0,0,65,0,65,32,0,0
264,1,0,98,0,98,20,0,0
0,0,0,0,0,0,32,0,0
0,0,0,0,0,0,32,0,0
280,1,0,96,0,96,32,0,0
6244,14,0,382.4615385,918.9312284,6,20,88331.22781,248014
384,3,0,132,0,132,20,0,0
282,1,0,101,0,101,20,0,0
0,0,0,0,0,0,32,0,0
376,3,0,100,0,100,20,0,0
138,0,0,91,0,91,20,0,0
0,0,1,0,0,0,32,0,0
97933,16,1,746.6901408,742.1537113,0,32,0,0
5322,11,1,499.4444444,663.669743,0,20,0,0
428,1,0,176,0,176,32,0,0
208,1,0,68,0,68,20,0,0
0,0,0,0,0,0,32,0,0
254,0,0,168,0,168,20,0,0
576,5,0,48,0,48,20,0,8012455
304,1,0,117,0,117,32,0,0
148,1,0,45,0,45,32,0,0
12,2,1,0,0,0,20,0,0
0,0,0,0,0,0,32,0,0
7599,15,1,464.1428571,606.9526476,0,20,625217.452,956225
588,3,0,106,0,106,20,0,0
16336,26,1,561.9565217,729.1797059,2,20,638803.0784,2203392
172,1,0,51,0,51,32,0,0
304,1,0,122,0,122,20,0,0
234,3,0,39,0,39,20,0,0
114,0,0,65,0,65,20,0,0
82585,4,1,1205.492537,707.2789809,0,32,29654.3282,117830
228,1,0,86,0,86,32,0,0
6270,2,1,522,808.6789227,0,32,0,0
12,1,0,0,0,0,20,0,0
308,1,0,116,0,116,40,0,0
803,3,1,42,84,0,32,0,0
192,1,0,48,0,48,20,0,16268
931,15,1,18.28571429,66.71112071,0,20,78145.97167,301418
30,0,0,6,0,6,20,0,0
192,1,0,56,0,56,32,0,0
4346,6,1,765.8,717.1005508,0,20,0,0
224,1,0,79,0,79,32,0,0
238,3,0,61,0,61,20,0,0
330,1,0,120,0,120,20,0,0
2278,2,1,80.2,211.6480232,0,32,250085.4086,866285
260,1,0,79,0,79,32,0,0
12,1,0,0,0,0,20,0,0
648,1,0,290,0,290,20,0,0
11594,25,1,160.3636364,126.3489294,0,20,0,3205
12,0,0,6,0,6,20,0,0
392,1,0,106,0,106,32,0,0
297,1,0,98.5,20.50609665,84,20,0,48501
12,0,0,6,0,6,20,0,0
0,0,0,0,0,0,32,0,0
3884,6,1,701.6,731.5646246,0,20,0,0
7058,3,1,668.8888889,666.1327654,0,32,0,0
386,1,0,147.5,40.30508653,119,20,0,0
5899,4,1,254.5789474,506.7488218,0,32,37855.3857,158869
404,1,0,165,0,165,32,0,0
210,1,0,71,0,71,20,0,0
6423,7,1,545.6666667,646.6061398,0,20,0,233424
37,0,0,0,0,0,32,0,0
191,0,0,145,0,145,20,0,0
312,1,0,111,0,111,20,0,0
232,1,0,83,0,83,32,0,0
348,1,0,140,0,140,32,0,0
244,0,0,186,0,186,32,0,0
242,0,0,185,0,185,20,0,0
0,0,0,0,0,0,32,0,0
280,1,0,100,0,100,20,0,0
2120,8,1,106.9,208.8484033,0,20,0,0
188,1,0,63,0,63,20,0,0
220,1,0,63,0,63,20,0,0
165,0,0,126,0,126,32,0,0
184,1,0,54,0,54,32,0,0
286,1,0,99,0,99,20,0,0
160,1,0,48,0,48,20,0,0
236,3,0,50,0,50,20,0,0
2413,12,0,27.6,20.91752512,6,20,0,473599
24,0,0,6,0,6,20,0,0
6441,3,1,410.9285714,590.8613614,0,32,81624.84755,250367
359,1,0,122,4.242640687,119,20,0,0
9618,24,1,158.0454545,312.6752498,0,32,0,0
12,1,0,0,0,0,20,0,0
318,1,0,123,0,123,32,0,0
1872,5,1,188.6,349.7210317,0,32,0,0
0,0,0,0,0,0,32,0,0
110,0,0,63,0,63,20,0,0
290,1,0,98,0,98,32,0,0
18,0,0,6,0,6,20,0,0
0,0,0,0,0,0,32,0,0
329,1,0,118,77.78174593,63,20,0,23417
573,4,1,114.5,161.9274529,0,20,0,0
12,0,0,6,0,6,20,0,0
164,0,0,110,0,110,32,0,0
160,0,0,94,0,94,20,0,0
576,3,0,112,0,112,20,0,0
9580,4,1,373.9047619,689.0100075,0,32,515730.2893,1741316
49,1,0,6,0,6,20,0,0
3884,6,1,701.6,731.5646246,0,20,0,0
304,1,0,122,0,122,32,0,0
12,0,0,6,0,6,20,0,0
96,0,0,48,0,48,20,0,0
49,2,0,0,0,0,20,0,0
0,0,0,0,0,0,32,0,0
182,0,0,139,0,139,32,0,0
12,0,0,6,0,6,20,0,0
374,1,0,142,0,142,32,0,0
110,0,0,55,0,55,20,0,0
3414,7,1,606.4,803.866469,2,20,0,306609
228,1,0,77,0,77,20,0,0
9926,23,1,121,106.6869498,0,20,0,215582
150,0,0,94,0,94,32,0,0
12,0,0,6,0,6,20,0,0
12,1,0,0,0,0,20,0,0
448,3,1,3,4.242640687,0,20,0,0
568,1,0,206,0,206,20,0,0
264,1,0,91,0,91,32,0,0
248,1,0,88,0,88,20,0,0
5109,8,1,568.875,686.9292826,0,20,0,0
12,1,0,0,0,0,20,0,0
6,0,0,6,0,6,32,0,0
37,0,0,6,0,6,32,0,0
358,0,0,311,0,311,20,0,0
628,1,0,285,0,285,20,0,0
624,1,0,284,0,284,32,0,0
276,1,0,99,0,99,20,0,0
92,1,0,23,0,23,32,0,0
0,0,0,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
9118,19,1,194.2631579,425.4131119,0,20,1002247.027,3372267
0,0,0,0,0,0,32,0,0
592,3,0,105,0,105,20,0,0
0,0,0,0,0,0,32,0,0
12,0,0,6,0,6,20,0,0
12,1,0,0,0,0,20,0,0
2071,1,0,0,0,0,20,0,0
4612,3,1,671,722.5803762,0,32,0,332551
1745,6,1,93.5,192.3805752,0,20,0,484817
288,1,0,102,0,102,40,0,0
162,0,0,108,0,108,20,0,0
384,3,0,132,0,132,20,0,0
12,0,0,6,0,6,20,0,0
976,3,0,215,0,215,20,0,0
19382,30,1,358.6585366,453.6253195,0,20,1706616.359,2710613
11346,23,1,168.4,138.0916553,0,20,0,3531
280592,105,1,2269.458333,2218.021785,0,20,530636.393,1783655
0,0,0,0,0,0,32,0,0
18491,12,1,4,3.098386677,0,20,0,0
379,1,0,117,9.899494937,110,20,0,30744
436,1,0,173,96.16652224,105,32,0,0
92,1,0,23,0,23,32,0,0
176,0,0,124,0,124,20,0,0
12,1,0,0,0,0,20,0,0
400,1,0,164,0,164,20,0,0
12,0,0,6,0,6,20,0,0
286,1,0,100,0,100,32,0,0
12,0,0,6,0,6,20,0,0
96,0,0,48,0,48,32,0,0
0,0,0,0,0,0,32,0,0
8530,11,1,571,991.3601047,0,20,0,0
14644,34,0,238.3428571,326.3603154,6,20,28860.62566,147931
12,2,1,0,0,0,20,0,0
0,0,0,0,0,0,32,0,0
352,1,0,130,0,130,20,0,0
320,1,0,122,0,122,32,0,0
37,1,0,0,0,0,32,0,0
228,1,0,77,0,77,20,0,0
542,15,1,8.714285714,30.92031588,0,20,27962.5687,128702
284,1,0,103,0,103,32,0,0
342,1,0,138,0,138,40,0,0
12433,7,1,345.7777778,589.7415741,0,32,624514.7091,1614643
43,2,0,0,0,0,20,0,0
298,1,0,105,0,105,20,0,0
498,3,0,127,0,127,20,0,0
12,0,0,6,0,6,20,0,0
167,0,0,112,0,112,32,0,0
0,0,0,0,0,0,32,0,0
9660,33,1,167.5714286,317.1563547,0,20,0,0
322,1,0,129,0,129,32,0,0
314,1,0,110,0,110,32,0,0
0,0,0,0,0,0,32,0,0
226,1,0,79,0,79,32,0,0
44165,2,1,1555.75,809.0294883,0,32,0,0
234,1,0,83,0,83,32,0,0
96,0,0,48,0,48,20,0,0
7583,15,1,412.7333333,575.0485031,0,20,263436.874,387865
176,1,0,52,0,52,32,0,0
36126,24,1,1066.848485,601.70794,0,20,81487.69257,189092
18,0,0,6,0,6,20,0,0
9302,10,1,25.42857143,54.09515426,0,20,0,0
74,1,0,0,0,0,20,0,0
4898,12,1,356,560.5635152,0,20,100633.3158,383149
0,0,0,0,0,0,32,0,0
204,1,0,67,0,67,20,0,0
279,1,0,94,49.49747468,59,32,0,48041
166,0,0,123,0,123,32,0,0
204,1,0,62,0,62,32,0,0
236,0,0,159,0,159,20,0,0
454,1,0,184,0,184,20,0,0
2712,2,1,569.75,1131.503535,0,20,0,0
396,1,0,160,0,160,32,0,0
12,1,0,0,0,0,20,0,0
18,1,0,6,0,6,20,0,0
17407,35,1,340.35,411.4784195,0,20,0,2981784
2086,5,1,251.8333333,531.1954129,0,20,0,0
4653,4,1,359.0909091,569.9183195,0,32,0,0
228,1,0,77,0,77,20,0,0
12,1,0,0,0,0,20,0,0
89,1,0,6,0,6,32,0,0
250,1,0,91,0,91,20,0,0
324,1,0,132,0,132,20,0,0
0,0,0,0,0,0,32,0,0
0,0,0,0,0,0,32,0,0
256,0,0,170,0,170,32,0,0
0,0,0,0,0,0,32,0,0
4571,19,1,183.5555555556,424.892958454,0,20,167729.482928966,667603
344,1,0,119,0,119,32,0,0
196,1,0,57,0,57,20,0,0
12,1,0,0,0,0,20,0,0
280,1,0,102,0,102,20,0,0
226,1,0,81,0,81,32,0,0
12,0,0,6,0,6,20,0,0
326,1,0,112,0,112,32,0,0
29,1,0,0,0,0,32,0,0
226,0,0,177,0,177,32,0,0
6438,8,1,513.2727272727,715.1025228468,0,20,222049.203669667,413453
3560,10,1,193.2,502.2765506505,0,20,0,0
398,0,0,343,0,343,20,0,0
0,0,0,0,0,0,32,0,0
12,2,1,0,0,0,20,0,0
37,0,0,6,0,6,32,0,0
173,0,0,117,0,117,32,0,0
0,0,0,0,0,0,32,0,0
1507,15,1,70.3571428571,261.530291566,0,20,98958.6809775584,352784
404,1,0,172,0,172,32,0,0
12,2,1,0,0,0,20,0,0
13803,5,1,872.5,675.4791746491,0,32,0,0
1523,4,1,112,243.7498717948,0,20,13935.6604436245,70120
37,0,0,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
248,1,0,89,0,89,32,0,0
27959,7,1,919.2068965517,774.2293116988,0,32,161776.132040545,250795
7673,3,1,464.6666666667,847.7865016506,0,32,228396.231374703,609901
234,1,0,79,0,79,32,0,0
12,2,1,0,0,0,20,0,0
12,0,0,6,0,6,20,0,0
43,0,0,6,0,6,32,0,0
276,1,0,94,0,94,20,0,0
1162,1,1,52.4166666667,181.5766596601,0,32,36821.1125064722,207218
162,0,0,108,0,108,32,0,0
12,1,0,0,0,0,20,0,0
420,1,0,180,0,180,32,0,0
49,1,0,6,0,6,20,0,0
362,1,0,139,0,139,32,0,0
12,1,0,0,0,0,20,0,0
276,1,0,94,0,94,20,0,0
7048,15,1,380.5333333333,554.376466552,0,20,438878.103529177,1126103
37,1,0,0,0,0,20,0,0
326,1,0,112,0,112,20,0,0
297,1,0,101,45.2548339959,69,32,0,31006
486,1,0,207,0,207,44,0,0
37,0,0,0,0,0,32,0,0
7594,8,1,594.1,599.885998429,2,20,0,0
12,0,0,6,0,6,20,0,0
202,1,0,69,0,69,32,0,0
397,0,0,342,0,342,32,0,0
290,1,0,98,0,98,32,0,0
150,0,0,89,0,89,32,0,0
0,0,0,0,0,0,32,0,0
28575,4,1,886.8387096774,958.3971026937,0,32,195348.289790003,700821
12,1,0,0,0,0,20,0,0
10338,12,1,590.6,612.8308785581,0,20,1424733.18995681,2065313
43,1,0,6,0,6,20,0,0
0,0,0,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
12,0,0,6,0,6,20,0,0
308,1,0,117,0,117,32,0,0
3709,7,1,59.875,123.4300698487,0,32,0,0
10380,4,1,439.1818181818,636.3412259505,0,32,58725.3010123611,239733
262,1,0,92,0,92,32,0,0
8728,5,1,460.8571428571,650.9739280071,0,32,197131.925572107,565732
179,0,0,139,0,139,32,0,0
37,0,0,0,0,0,32,0,0
552,1,0,202,0,202,20,0,0
12,2,1,0,0,0,20,0,0
314,1,0,119,0,119,32,0,0
201,0,0,151,0,151,32,0,0
160,1,0,48,0,48,32,0,0
444,1,0,152,0,152,20,0,0
216,1,0,76,0,76,20,0,0
324,3,0,86,0,86,20,0,0
4801,5,1,395,587.4831439662,0,32,0,0
0,0,0,0,0,0,32,0,0
204,1,0,59,0,59,20,0,0
37,0,0,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
0,0,0,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
92,0,0,54,0,54,20,0,0
803,3,1,42,84,0,32,0,151321
185,1,1,0,0,0,32,0,0
564,1,0,243,0,243,20,0,0
37,0,0,0,0,0,32,0,0
420,1,0,180,0,180,20,0,0
18,0,0,6,0,6,32,0,0
198,0,0,151,0,151,32,0,0
18,1,0,6,0,6,20,0,0
416,1,0,163,0,163,32,0,0
0,0,0,0,0,0,32,0,0
37,0,0,0,0,0,32,0,0
12,1,0,0,0,0,20,0,0
12347,4,1,489,639.3104097385,0,32,889404.775078897,2552864
2448,16,1,99.8666666667,262.3339928593,0,20,56598.0662253311,198798
196,1,0,57,0,57,20,0,0
376,1,0,142,0,142,32,0,0
5784,5,1,534.3333333333,648.6534128485,0,32,0,0
168,0,0,125,0,125,40,0,0
6,1,0,0,0,0,20,0,0
12,0,0,6,0,6,20,0,0
294,1,0,101,0,101,20,0,0
212,1,0,61,0,61,32,0,0
12,1,0,0,0,0,20,0,0
0,0,0,0,0,0,32,0,0
192,1,0,56,0,56,32,0,0
65,2,0,0,0,0,20,0,0
144,0,0,89,0,89,20,0,0
5605,5,1,649,768.236725669,0,32,0,0
3081,12,0,0,0,0,20,0,0
0,0,1,0,0,0,32,0,0
224,0,0,153,0,153,20,0,0
350,1,0,128,0,128,32,0,0
192,1,0,56,0,56,32,0,0
336,1,0,127,0,127,32,0,0
0,0,0,0,0,0,32,0,0
906,2,0,0,0,0,32,0,48
181,4,0,46,0,46,20,0,0
12,2,1,0,0,0,20,0,0
4486,3,1,683.1666666667,666.9591941541,0,32,0,154932
238,1,0,80,0,80,20,0,0
427,1,0,164,19.7989898732,150,32,0,137074
12,1,0,0,0,0,20,0,0
4600,3,1,1061,1308.7648120779,0,32,0,121665
2466,2,1,106.1333333333,280.0851571185,0,32,1063633.84290566,3551616
1192,5,1,95.8,149.5299301143,0,32,0,0
161,0,0,112,0,112,20,0,0
163,0,0,112,0,112,32,0,0
252,1,0,81,25.4558441227,63,20,0,30877
284,1,0,99,0,99,32,0,0
181,0,0,117,0,117,40,0,0
0,0,0,0,0,0,32,0,0
3768,6,1,844.5,960.4111966583,0,20,0,0
29,1,0,0,0,0,32,0,0
15255,12,1,925.1875,1038.6979810481,0,20,37518.8457978121,90152
166,0,0,111,0,111,20,0,0
37,1,0,0,0,0,32,0,0
1233,1,1,56.8571428571,212.7399485623,0,32,7554.95733217,48685
624,1,0,284,0,284,20,0,0
116,0,0,66,0,66,20,0,0
252,1,0,96,0,96,32,0,0
762,1,0,346,0,346,20,0,0
1520,4,1,98.8,149.2136052778,0,20,0,0
12,1,0,0,0,0,20,0,0
6,0,0,6,0,6,32,0,0
0,0,0,0,0,0,32,0,0
5703,2,1,268.1111111111,574.0176149059,0,32,638194.085818855,2140253
0,0,0,0,0,0,32,0,0
232,0,0,180,0,180,32,0,0
308,1,0,115,0,115,20,0,0
4534,13,1,283.4615384615,557.7283710709,0,20,190298.342932792,516715
4504,7,1,647.3333333333,686.9036807782,2,20,0,0
0,0,0,0,0,0,32,0,0
12,0,0,6,0,6,20,0,0
37,1,0,0,0,0,20,0,0
1054,1,1,47.8,106.8840493245,0,32,0,76206
0,0,0,0,0,0,32,0,0
228,1,0,77,0,77,40,0,0
424189,159,1,1632.9299610895,715.8779103837,0,20,0,7524746
0,0,0,0,0,0,32,0,0
156,0,0,110,0,110,32,0,0
220,0,0,176,0,176,32,0,0
192,1,0,56,0,56,20,0,0
404,1,0,172,0,172,32,0,0
196,1,0,57,0,57,20,0,0
220,1,0,71,0,71,32,0,0
9618,24,1,158.0454545455,312.6752498029,0,32,0,0
134,0,0,83,0,83,20,0,0
294,1,0,108,0,108,20,0,0
259,0,0,215,0,215,20,0,0
18,2,0,0,0,0,20,0,0
2271,5,1,186.5,393.118684369,0,32,0,0
316,1,0,119,0,119,20,0,0
12,1,0,0,0,0,20,0,0
18,1,0,6,0,6,20,0,0
0,0,1,0,0,0,40,0,7007273
12,0,0,6,0,6,20,0,0
17105,19,1,542.9583333333,519.632937267,0,20,0,0
228,1,0,77,0,77,32,0,0
185333,54,1,1690.4311926606,737.02387477,0,20,0,0
147,0,0,103,0,103,32,0,0
152,1,0,54,0,54,32,0,0
14642,21,0,379.9310344828,604.6728708882,6,20,750614.354326175,1148368
276,1,0,110,0,110,40,0,0
434,3,0,137,0,137,20,0,0
212,1,0,61,0,61,20,0,0
240,1,0,85,0,85,44,0,0
5253,11,1,609.1428571429,654.3781853973,0,20,0,0
192,1,0,56,0,56,20,0,0
146,0,0,89,0,89,32,0,0
37,0,0,0,0,0,32,0,0
0,0,0,0,0,0,32,0,0
73414,3,1,1425.6862745098,1125.7224256485,0,32,68285.6252112323,244546
3740,5,1,379.125,639.9840260283,0,32,0,0
12,0,0,6,0,6,20,0,0
181,0,0,136,0,136,32,0,0
286,1,0,99,0,99,20,0,0
2207,1,1,197,591,0,32,20341.4064975852,68920
1950,38,0,0,0,0,20,0,0
102,0,0,59,0,59,44,0,0
37,0,0,0,0,0,32,0,0
